nama_alat,kategori,deskripsi,kebutuhan_konten,harga_sewa,stok,rating_alat,gambar
Sony ZV-1,Kamera,Kamera compact untuk vlog dan travel,vlog travel daily lowlight outdoor,250,5,4.5,https://cdn.dxomark.com/wp-content/uploads/medias/post-44019/sony-zv1.jpg
Sony ZV-E10,Kamera,Kamera mirrorless ringan untuk konten kreator,vlog travel indoor outdoor lowlight,350,4,4.6,https://cdn.mos.cms.futurecdn.net/Fg2bQVWwtIg9Y9ycYzaPtT.jpg
Canon EOS R6,Kamera,Mirrorless full-frame untuk cinematic dan lowlight,wedding cinematic lowlight indoor outdoor,700,3,4.7,https://cdn.dxomark.com/wp-content/uploads/medias/post-67133/Canon-EOS-R6.jpg
Canon EOS R5,Kamera,Kamera profesional untuk produksi video dan foto,cinematic profesional indoor outdoor wedding,900,2,4.9,https://cdn.dxomark.com/wp-content/uploads/medias/post-67127/Canon-EOS-R5.jpg
Fujifilm X-S10,Kamera,Mirrorless ringan dengan IBIS untuk travel dan konten,vlog travel stabilization indoor outdoor,350,6,4.6,https://cdn.dxomark.com/wp-content/uploads/medias/post-86970/Fujifilm-X-S10.jpg
Fujifilm X-T4,Kamera,Kamera flagship dengan stabilisasi kuat untuk video,cinematic travel indoor outdoor ibis,500,4,4.7,https://cdn.dxomark.com/wp-content/uploads/medias/post-70606/Fujifilm-X-T4.jpg
Sony A7S III,Kamera,Low-light king untuk filmmaker,cinematic lowlight profesional indoor outdoor,900,3,5.0,https://cdn.dxomark.com/wp-content/uploads/medias/post-70622/Sony-A7S-III.jpg
Sony A6400,Kamera,Mirrorless APS-C cepat untuk action dan travel,travel vlog outdoor action daily,350,5,4.5,https://cdn.dxomark.com/wp-content/uploads/medias/post-70607/Sony-A6400.jpg
Canon M50 Mark II,Kamera,Kamera vlog pemula dengan autofocus kuat,vlog pemula indoor outdoor daily,250,6,4.4,https://m.media-amazon.com/images/I/61Fcj0P-BgL.jpg
Panasonic GH5,Kamera,Kamera video stabil untuk profesional,cinematic stabilization indoor outdoor action,500,3,4.6,https://cdn.dxomark.com/wp-content/uploads/medias/post-35106/panasonic-lumix-gh5.jpg
Panasonic GH6,Kamera,Kamera generasi baru untuk filmmaker,cinematic action stabilization profesional,650,2,4.8,https://www.adorama.com/images/product/LXHG6.jpg
DJI Osmo Action 4,Kamera,Action cam lowlight terbaik untuk outdoor,action travel outdoor waterproof lowlight,180,10,4.7,https://cdn.shopify.com/s/files/1/0057/8938/4802/products/osmoaction4.png
